Siglent Technologies,SSA5085A,SSA5AA4D900088,1.9.0.2.2R3
PMA Benchtop NPD v2.00,,,
Frequency Start = 2.0 GHz,,,
Frequency Stop = 5.0 GHz,,,
Frequency Step = 0.3 MHz,,,
Number of Frequency Points = 10001.0,,,
Number of Averages = 10.0,,,
Resolution Bandwidth = 10.0 KHz,,,
,,,
Freq(GHz),Raw Data,dBm/Hz,
2.0507,-116.9811,-156.9811,
2.051,-118.6659,-158.6659,
2.0513,-119.011,-159.011,
2.0516,-118.0299,-158.0299,
2.0519,-118.2081,-158.2081,
2.0522,-120.1465,-160.1465,
2.0525,-119.6607,-159.6607,
2.0528,-121.1251,-161.1251,
2.0531,-118.1941,-158.1941,
2.0534,-119.0407,-159.0407,
2.0537,-119.3833,-159.3833,
2.054,-119.6176,-159.6176,
2.0543,-119.748,-159.748,
2.0546,-118.5923,-158.5923,
2.0549,-118.518,-158.518,
2.0552,-118.1566,-158.1566,
2.0555,-119.0742,-159.0742,
2.0558,-118.9316,-158.9316,
2.0561,-118.431,-158.431,
2.0564,-119.3767,-159.3767,
2.0567,-120.3826,-160.3826,
2.057,-118.0357,-158.0357,
2.0573,-119.7461,-159.7461,
2.0576,-119.3592,-159.3592,
2.0579,-119.5943,-159.5943,
2.0582,-119.5856,-159.5856,
2.0585,-118.495,-158.495,
2.0588,-118.077,-158.077,
2.0591,-118.184,-158.184,
2.0594,-120.6854,-160.6854,
2.0597,-120.4699,-160.4699,
2.06,-119.2839,-159.2839,
2.0603,-117.8722,-157.8722,
2.0606,-120.3459,-160.3459,
2.0609,-120.1805,-160.1805,
2.0612,-119.0507,-159.0507,
2.0615,-119.8831,-159.8831,
2.0618,-118.5932,-158.5932,
2.0621,-117.8086,-157.8086,
2.0624,-117.6193,-157.6193,
2.0627,-118.3381,-158.3381,
2.063,-118.7129,-158.7129,
2.0633,-118.5279,-158.5279,
2.0636,-120.1468,-160.1468,
2.0639,-119.0991,-159.0991,
2.0642,-118.505,-158.505,
2.0645,-118.5206,-158.5206,
2.0648,-117.448,-157.448,
2.0651,-119.7487,-159.7487,
2.0654,-119.9247,-159.9247,
2.0657,-117.8535,-157.8535,
2.066,-118.9131,-158.9131,
2.0663,-120.1835,-160.1835,
2.0666,-120.0767,-160.0767,
2.0669,-118.907,-158.907,
2.0672,-117.8745,-157.8745,
2.0675,-117.7696,-157.7696,
2.0678,-117.5223,-157.5223,
2.0681,-119.2417,-159.2417,
2.0684,-119.8249,-159.8249,
2.0687,-120.3551,-160.3551,
2.069,-118.0192,-158.0192,
2.0693,-118.8318,-158.8318,
2.0696,-119.6741,-159.6741,
2.0699,-120.9919,-160.9919,
2.0702,-118.6011,-158.6011,
2.0705,-119.0821,-159.0821,
2.0708,-119.9811,-159.9811,
2.0711,-119.4503,-159.4503,
2.0714,-119.0823,-159.0823,
2.0717,-120.4518,-160.4518,
2.072,-120.7793,-160.7793,
2.0723,-118.1736,-158.1736,
2.0726,-120.4164,-160.4164,
2.0729,-118.1393,-158.1393,
2.0732,-119.5937,-159.5937,
2.0735,-120.0523,-160.0523,
2.0738,-119.2543,-159.2543,
2.0741,-118.5723,-158.5723,
2.0744,-118.9057,-158.9057,
2.0747,-118.749,-158.749,
2.075,-121.0162,-161.0162,
2.0753,-120.1839,-160.1839,
2.0756,-117.4479,-157.4479,
2.0759,-118.1844,-158.1844,
2.0762,-118.1971,-158.1971,
2.0765,-119.3653,-159.3653,
2.0768,-119.328,-159.328,
2.0771,-119.2263,-159.2263,
2.0774,-119.0477,-159.0477,
2.0777,-119.0455,-159.0455,
2.078,-119.23,-159.23,
2.0783,-118.3391,-158.3391,
2.0786,-118.8006,-158.8006,
2.0789,-119.0788,-159.0788,
2.0792,-118.0981,-158.0981,
2.0795,-117.4711,-157.4711,
2.0798,-118.4023,-158.4023,
2.0801,-119.184,-159.184,
2.0804,-117.4801,-157.4801,
2.0807,-118.8788,-158.8788,
2.081,-117.9694,-157.9694,
2.0813,-119.3884,-159.3884,
2.0816,-117.7579,-157.7579,
2.0819,-119.5451,-159.5451,
2.0822,-118.2031,-158.2031,
2.0825,-118.122,-158.122,
2.0828,-118.9374,-158.9374,
2.0831,-118.6172,-158.6172,
2.0834,-118.7433,-158.7433,
2.0837,-119.0421,-159.0421,
2.084,-117.5382,-157.5382,
2.0843,-118.3417,-158.3417,
2.0846,-119.425,-159.425,
2.0849,-118.14,-158.14,
2.0852,-118.1932,-158.1932,
2.0855,-120.6659,-160.6659,
2.0858,-119.8955,-159.8955,
2.0861,-118.8519,-158.8519,
2.0864,-118.786,-158.786,
2.0867,-117.5511,-157.5511,
2.087,-118.0561,-158.0561,
2.0873,-117.9212,-157.9212,
2.0876,-118.4628,-158.4628,
2.0879,-119.2472,-159.2472,
2.0882,-120.0259,-160.0259,
2.0885,-118.0931,-158.0931,
2.0888,-118.779,-158.779,
2.0891,-118.4799,-158.4799,
2.0894,-116.9009,-156.9009,
2.0897,-118.6097,-158.6097,
2.09,-119.8193,-159.8193,
2.0903,-118.894,-158.894,
2.0906,-117.7645,-157.7645,
2.0909,-118.4578,-158.4578,
2.0912,-118.6053,-158.6053,
2.0915,-119.2973,-159.2973,
2.0918,-118.6877,-158.6877,
2.0921,-118.9604,-158.9604,
2.0924,-119.3375,-159.3375,
2.0927,-120.1658,-160.1658,
2.093,-120.8281,-160.8281,
2.0933,-117.8425,-157.8425,
2.0936,-118.8541,-158.8541,
2.0939,-117.7399,-157.7399,
2.0942,-120.5043,-160.5043,
2.0945,-118.2375,-158.2375,
2.0948,-119.4057,-159.4057,
2.0951,-120.4093,-160.4093,
2.0954,-118.774,-158.774,
2.0957,-121.0444,-161.0444,
2.096,-120.5815,-160.5815,
2.0963,-117.4809,-157.4809,
2.0966,-119.874,-159.874,
2.0969,-118.8784,-158.8784,
2.0972,-118.5197,-158.5197,
2.0975,-116.2668,-156.2668,
2.0978,-119.4683,-159.4683,
2.0981,-118.5177,-158.5177,
2.0984,-118.2946,-158.2946,
2.0987,-120.1258,-160.1258,
2.099,-119.3074,-159.3074,
2.0993,-119.547,-159.547,
2.0996,-119.5594,-159.5594,
2.0999,-118.6995,-158.6995,
2.1002,-119.9184,-159.9184,
2.1005,-118.4832,-158.4832,
2.1008,-118.3721,-158.3721,
2.1011,-120.1056,-160.1056,
2.1014,-116.9284,-156.9284,
2.1017,-118.4967,-158.4967,
2.102,-121.3733,-161.3733,
2.1023,-118.5598,-158.5598,
2.1026,-120.1757,-160.1757,
2.1029,-118.8483,-158.8483,
2.1032,-118.3421,-158.3421,
2.1035,-117.9577,-157.9577,
2.1038,-118.3645,-158.3645,
2.1041,-118.8066,-158.8066,
2.1044,-118.0243,-158.0243,
2.1047,-118.1266,-158.1266,
2.105,-118.6851,-158.6851,
2.1053,-118.6705,-158.6705,
2.1056,-118.5913,-158.5913,
2.1059,-118.6176,-158.6176,
2.1062,-120.5215,-160.5215,
2.1065,-117.8877,-157.8877,
2.1068,-117.5005,-157.5005,
2.1071,-118.6135,-158.6135,
2.1074,-118.2701,-158.2701,
2.1077,-118.1768,-158.1768,
2.108,-119.3142,-159.3142,
2.1083,-119.0563,-159.0563,
2.1086,-117.0275,-157.0275,
2.1089,-118.1011,-158.1011,
2.1092,-119.9289,-159.9289,
2.1095,-117.6456,-157.6456,
2.1098,-117.8616,-157.8616,
2.1101,-117.896,-157.896,
2.1104,-118.1187,-158.1187,
2.1107,-118.3597,-158.3597,
2.111,-116.5594,-156.5594,
2.1113,-116.1539,-156.1539,
2.1116,-114.9073,-154.9073,
2.1119,-114.2224,-154.2224,
2.1122,-115.8101,-155.8101,
2.1125,-113.0151,-153.0151,
2.1128,-115.2334,-155.2334,
2.1131,-114.6084,-154.6084,
2.1134,-112.9997,-152.9997,
2.1137,-116.789,-156.789,
2.114,-114.3911,-154.3911,
2.1143,-117.5598,-157.5598,
2.1146,-116.7927,-156.7927,
2.1149,-117.9305,-157.9305,
2.1152,-117.4048,-157.4048,
2.1155,-117.1585,-157.1585,
2.1158,-117.9226,-157.9226,
2.1161,-116.8061,-156.8061,
2.1164,-117.9094,-157.9094,
2.1167,-117.4012,-157.4012,
2.117,-118.3957,-158.3957,
2.1173,-118.6029,-158.6029,
2.1176,-116.7643,-156.7643,
2.1179,-117.6607,-157.6607,
2.1182,-119.5082,-159.5082,
2.1185,-119.3025,-159.3025,
2.1188,-118.287,-158.287,
2.1191,-118.1078,-158.1078,
2.1194,-119.2446,-159.2446,
2.1197,-119.039,-159.039,
2.12,-118.1853,-158.1853,
2.1203,-117.7177,-157.7177,
2.1206,-118.3302,-158.3302,
2.1209,-117.3129,-157.3129,
2.1212,-120.5448,-160.5448,
2.1215,-118.0269,-158.0269,
2.1218,-119.2662,-159.2662,
2.1221,-119.4522,-159.4522,
2.1224,-118.1878,-158.1878,
2.1227,-119.4375,-159.4375,
2.123,-118.4283,-158.4283,
2.1233,-117.8048,-157.8048,
2.1236,-117.4157,-157.4157,
2.1239,-119.1664,-159.1664,
