Siglent Technologies,SSA5085A,SSA5AA4D900088,1.9.0.2.2R3
PMA Benchtop NPD v2.00,,,
Frequency Start = 2.0 GHz,,,
Frequency Stop = 5.0 GHz,,,
Frequency Step = 0.3 MHz,,,
Number of Frequency Points = 10001.0,,,
Number of Averages = 10.0,,,
Resolution Bandwidth = 10.0 KHz,,,
,,,
Freq(GHz),Raw Data,dBm/Hz,
2.7461,-101.0975,-141.0975,
2.7464,-99.3313,-139.3313,
2.7467,-99.1232,-139.1232,
2.747,-100.5837,-140.5837,
2.7473,-99.3688,-139.3688,
2.7476,-100.0463,-140.0463,
2.7479,-101.6307,-141.6307,
2.7482,-102.2904,-142.2904,
2.7485,-97.6911,-137.6911,
2.7488,-99.7111,-139.7111,
2.7491,-100.4662,-140.4662,
2.7494,-100.2893,-140.2893,
2.7497,-99.3839,-139.3839,
2.75,-100.6142,-140.6142,
2.7503,-101.7358,-141.7358,
2.7506,-99.2153,-139.2153,
2.7509,-100.8994,-140.8994,
2.7512,-100.1544,-140.1544,
2.7515,-100.6644,-140.6644,
2.7518,-100.4557,-140.4557,
2.7521,-100.2058,-140.2058,
2.7524,-99.9769,-139.9769,
2.7527,-98.9131,-138.9131,
2.753,-101.0871,-141.0871,
2.7533,-99.5189,-139.5189,
2.7536,-98.9488,-138.9488,
2.7539,-99.517,-139.517,
2.7542,-102.6303,-142.6303,
2.7545,-97.6239,-137.6239,
2.7548,-99.9759,-139.9759,
2.7551,-100.8339,-140.8339,
2.7554,-100.2014,-140.2014,
2.7557,-99.1049,-139.1049,
2.756,-98.4016,-138.4016,
2.7563,-100.5317,-140.5317,
2.7566,-100.5215,-140.5215,
2.7569,-100.1367,-140.1367,
2.7572,-99.3154,-139.3154,
2.7575,-99.4246,-139.4246,
2.7578,-99.6919,-139.6918,
2.7581,-100.7852,-140.7852,
2.7584,-99.8156,-139.8156,
2.7587,-99.9,-139.9,
2.759,-98.6309,-138.6309,
2.7593,-100.2115,-140.2115,
2.7596,-100.3604,-140.3604,
2.7599,-99.1239,-139.1239,
2.7602,-99.812,-139.812,
2.7605,-101.2587,-141.2587,
2.7608,-100.7138,-140.7138,
2.7611,-100.8399,-140.8399,
2.7614,-99.5265,-139.5265,
2.7617,-100.1217,-140.1217,
2.762,-100.072,-140.072,
2.7623,-100.1323,-140.1323,
2.7626,-101.1041,-141.1041,
2.7629,-101.0518,-141.0518,
2.7632,-100.3861,-140.3861,
2.7635,-100.9022,-140.9022,
2.7638,-100.3535,-140.3535,
2.7641,-101.3886,-141.3886,
2.7644,-99.0657,-139.0657,
2.7647,-100.1894,-140.1894,
2.765,-101.0782,-141.0782,
2.7653,-99.6303,-139.6302,
2.7656,-99.7408,-139.7408,
2.7659,-98.6461,-138.6461,
2.7662,-98.1623,-138.1623,
2.7665,-99.5089,-139.5089,
2.7668,-99.0094,-139.0094,
2.7671,-100.5847,-140.5847,
2.7674,-98.7691,-138.7691,
2.7677,-98.8594,-138.8594,
2.768,-99.9833,-139.9833,
2.7683,-99.2274,-139.2274,
2.7686,-99.6673,-139.6673,
2.7689,-99.5834,-139.5834,
2.7692,-99.5725,-139.5725,
2.7695,-100.3486,-140.3486,
2.7698,-100.4409,-140.4409,
2.7701,-99.4616,-139.4616,
2.7704,-100.3488,-140.3488,
2.7707,-99.1363,-139.1363,
2.771,-98.7499,-138.7499,
2.7713,-100.3145,-140.3145,
2.7716,-100.0602,-140.0602,
2.7719,-101.5292,-141.5292,
2.7722,-101.3804,-141.3804,
2.7725,-98.8962,-138.8962,
2.7728,-99.2331,-139.233,
2.7731,-102.904,-142.904,
2.7734,-99.7909,-139.7909,
2.7737,-99.1437,-139.1438,
2.774,-101.0524,-141.0524,
2.7743,-101.0145,-141.0145,
2.7746,-97.9748,-137.9748,
2.7749,-101.6749,-141.6749,
2.7752,-98.2621,-138.2621,
2.7755,-98.9999,-138.9999,
2.7758,-100.1096,-140.1096,
2.7761,-100.4251,-140.4251,
2.7764,-99.0035,-139.0035,
2.7767,-99.4927,-139.4927,
2.777,-97.013,-137.013,
2.7773,-99.4437,-139.4437,
2.7776,-101.5057,-141.5057,
2.7779,-99.8096,-139.8096,
2.7782,-99.5739,-139.5739,
2.7785,-98.781,-138.781,
2.7788,-99.4518,-139.4518,
2.7791,-98.6056,-138.6056,
2.7794,-99.0936,-139.0936,
2.7797,-99.8914,-139.8914,
2.78,-98.9664,-138.9664,
2.7803,-101.1405,-141.1405,
2.7806,-100.1379,-140.1379,
2.7809,-98.8257,-138.8257,
2.7812,-98.4885,-138.4885,
2.7815,-98.912,-138.912,
2.7818,-99.2144,-139.2144,
2.7821,-99.6449,-139.6449,
2.7824,-99.1127,-139.1127,
2.7827,-96.9385,-136.9385,
2.783,-100.8798,-140.8798,
2.7833,-99.0873,-139.0873,
2.7836,-98.2349,-138.2349,
2.7839,-101.0509,-141.0509,
2.7842,-101.965,-141.965,
2.7845,-99.4949,-139.4949,
2.7848,-97.9768,-137.9768,
2.7851,-98.3869,-138.3869,
2.7854,-100.4055,-140.4055,
2.7857,-100.0171,-140.0171,
2.786,-98.5281,-138.5281,
2.7863,-99.702,-139.702,
2.7866,-98.1666,-138.1666,
2.7869,-98.8496,-138.8496,
2.7872,-101.4242,-141.4242,
2.7875,-99.4445,-139.4445,
2.7878,-99.9937,-139.9937,
2.7881,-99.9741,-139.9742,
2.7884,-98.8862,-138.8862,
2.7887,-99.9191,-139.9191,
2.789,-101.2337,-141.2337,
2.7893,-97.3393,-137.3393,
2.7896,-100.6385,-140.6385,
2.7899,-99.4658,-139.4658,
2.7902,-100.3024,-140.3024,
2.7905,-99.0734,-139.0734,
2.7908,-100.3021,-140.3021,
2.7911,-99.0872,-139.0872,
2.7914,-98.0506,-138.0506,
2.7917,-99.0428,-139.0428,
2.792,-98.6821,-138.6821,
2.7923,-98.8632,-138.8632,
2.7926,-98.4422,-138.4422,
2.7929,-98.0856,-138.0856,
2.7932,-98.9951,-138.9951,
2.7935,-98.1645,-138.1644,
2.7938,-99.6556,-139.6556,
2.7941,-99.6169,-139.6169,
2.7944,-97.9775,-137.9775,
2.7947,-97.1023,-137.1023,
2.795,-99.0379,-139.0379,
2.7953,-97.9776,-137.9776,
2.7956,-98.9594,-138.9594,
2.7959,-99.4499,-139.4499,
2.7962,-97.221,-137.221,
2.7965,-99.2945,-139.2945,
2.7968,-99.7202,-139.7202,
2.7971,-99.3618,-139.3618,
2.7974,-99.8746,-139.8746,
2.7977,-99.2025,-139.2025,
2.798,-98.2906,-138.2906,
2.7983,-99.566,-139.566,
2.7986,-97.5763,-137.5763,
2.7989,-99.6122,-139.6122,
2.7992,-99.8174,-139.8174,
2.7995,-97.8563,-137.8563,
2.7998,-98.3736,-138.3736,
2.8001,-100.056,-140.056,
2.8004,-98.9782,-138.9782,
2.8007,-97.7381,-137.738,
2.801,-98.8152,-138.8152,
2.8013,-97.6231,-137.6231,
2.8016,-98.1168,-138.1168,
2.8019,-100.1352,-140.1352,
2.8022,-99.1042,-139.1042,
2.8025,-98.5774,-138.5774,
2.8028,-98.4806,-138.4806,
2.8031,-98.3091,-138.3091,
2.8034,-99.2849,-139.2849,
2.8037,-99.6779,-139.678,
2.804,-99.2078,-139.2078,
2.8043,-100.6768,-140.6768,
2.8046,-98.0438,-138.0438,
2.8049,-98.9826,-138.9826,
2.8052,-98.6152,-138.6152,
2.8055,-99.4676,-139.4676,
2.8058,-99.0083,-139.0083,
2.8061,-99.1448,-139.1448,
2.8064,-97.7199,-137.7199,
2.8067,-100.8047,-140.8047,
2.807,-99.5317,-139.5317,
2.8073,-99.4733,-139.4733,
2.8076,-99.7845,-139.7845,
2.8079,-99.0918,-139.0918,
2.8082,-100.5289,-140.5289,
2.8085,-99.2637,-139.2637,
2.8088,-97.8385,-137.8385,
2.8091,-99.7945,-139.7945,
2.8094,-99.4677,-139.4676,
2.8097,-97.9647,-137.9647,
2.81,-99.7186,-139.7186,
2.8103,-99.6658,-139.6658,
2.8106,-98.6406,-138.6406,
2.8109,-100.1132,-140.1132,
2.8112,-100.1162,-140.1162,
2.8115,-97.757,-137.757,
2.8118,-98.6235,-138.6235,
2.8121,-98.6713,-138.6713,
2.8124,-99.2006,-139.2006,
2.8127,-98.5194,-138.5194,
2.813,-101.688,-141.688,
2.8133,-97.4311,-137.4311,
2.8136,-101.051,-141.051,
2.8139,-98.8346,-138.8346,
2.8142,-98.1529,-138.1529,
2.8145,-101.339,-141.339,
2.8148,-99.4867,-139.4867,
2.8151,-100.9395,-140.9395,
2.8154,-99.8155,-139.8155,
2.8157,-98.4595,-138.4595,
2.816,-99.089,-139.089,
2.8163,-99.7822,-139.7822,
2.8166,-99.2765,-139.2765,
2.8169,-98.0125,-138.0125,
2.8172,-99.9872,-139.9872,
2.8175,-99.8201,-139.8202,
2.8178,-99.1233,-139.1233,
2.8181,-97.7492,-137.7492,
2.8184,-100.9192,-140.9192,
2.8187,-99.2211,-139.2211,
2.819,-100.359,-140.359,
2.8193,-100.2014,-140.2014,
2.8196,-99.4675,-139.4675,
2.8199,-98.0328,-138.0328,
2.8202,-99.3396,-139.3396,
2.8205,-101.5241,-141.5241,
2.8208,-100.3764,-140.3764,
2.8211,-99.0921,-139.0921,
2.8214,-100.5097,-140.5097,
2.8217,-99.9291,-139.9291,
2.822,-100.0487,-140.0487,
2.8223,-98.75,-138.75,
2.8226,-100.2505,-140.2505,
2.8229,-100.6393,-140.6393,
2.8232,-97.2977,-137.2977,
2.8235,-98.2687,-138.2687,
2.8238,-100.8076,-140.8076,
2.8241,-99.4434,-139.4434,
2.8244,-100.1562,-140.1562,
2.8247,-100.3073,-140.3073,
2.825,-99.1603,-139.1603,
2.8253,-99.8117,-139.8117,
2.8256,-100.4957,-140.4957,
2.8259,-97.6105,-137.6105,
2.8262,-101.4695,-141.4695,
2.8265,-100.7026,-140.7026,
2.8268,-100.3413,-140.3413,
2.8271,-99.8871,-139.8871,
2.8274,-98.7116,-138.7116,
2.8277,-100.9465,-140.9465,
2.828,-99.6049,-139.6049,
2.8283,-100.3124,-140.3124,
2.8286,-100.12,-140.12,
2.8289,-100.0724,-140.0724,
2.8292,-98.6833,-138.6833,
2.8295,-100.7239,-140.7239,
2.8298,-99.5896,-139.5896,
2.8301,-101.0846,-141.0846,
2.8304,-99.7797,-139.7797,
2.8307,-100.4642,-140.4642,
2.831,-99.6765,-139.6765,
2.8313,-100.5161,-140.5161,
2.8316,-102.2588,-142.2588,
2.8319,-99.2525,-139.2525,
2.8322,-100.6572,-140.6572,
2.8325,-99.2511,-139.2511,
2.8328,-99.2894,-139.2894,
2.8331,-99.8606,-139.8606,
2.8334,-99.1095,-139.1095,
2.8337,-99.5923,-139.5923,
2.834,-100.7693,-140.7693,
2.8343,-99.6798,-139.6798,
2.8346,-99.1855,-139.1855,
2.8349,-99.9276,-139.9276,
2.8352,-99.7046,-139.7046,
2.8355,-99.7385,-139.7385,
2.8358,-100.1627,-140.1627,
2.8361,-100.2713,-140.2713,
2.8364,-99.49,-139.49,
2.8367,-100.708,-140.708,
2.837,-100.0285,-140.0285,
2.8373,-99.8134,-139.8134,
2.8376,-99.1947,-139.1947,
2.8379,-100.3713,-140.3713,
2.8382,-99.956,-139.956,
2.8385,-99.4834,-139.4834,
2.8388,-99.0388,-139.0388,
2.8391,-100.0932,-140.0932,
2.8394,-99.7691,-139.7691,
2.8397,-99.0584,-139.0584,
2.84,-101.2416,-141.2416,
2.8403,-100.407,-140.407,
2.8406,-101.508,-141.508,
2.8409,-100.8425,-140.8425,
2.8412,-101.2397,-141.2397,
2.8415,-101.049,-141.049,
2.8418,-98.5957,-138.5958,
2.8421,-100.515,-140.515,
2.8424,-99.9836,-139.9836,
2.8427,-99.9663,-139.9663,
2.843,-100.6353,-140.6353,
2.8433,-100.9535,-140.9535,
2.8436,-99.1974,-139.1974,
2.8439,-100.3962,-140.3962,
2.8442,-99.0984,-139.0984,
2.8445,-101.2529,-141.2529,
2.8448,-100.9876,-140.9876,
2.8451,-101.32,-141.32,
2.8454,-101.1358,-141.1358,
2.8457,-101.4304,-141.4304,
2.846,-101.4289,-141.4289,
2.8463,-100.5047,-140.5047,
2.8466,-100.5903,-140.5903,
2.8469,-100.4155,-140.4155,
2.8472,-99.8682,-139.8682,
2.8475,-99.9461,-139.9461,
2.8478,-99.6386,-139.6386,
2.8481,-100.774,-140.774,
2.8484,-100.1412,-140.1412,
2.8487,-100.2828,-140.2828,
2.849,-99.6694,-139.6694,
2.8493,-100.1542,-140.1542,
2.8496,-102.0461,-142.0461,
2.8499,-100.7427,-140.7427,
2.8502,-100.09,-140.09,
2.8505,-99.1298,-139.1298,
2.8508,-101.9739,-141.9739,
2.8511,-101.0341,-141.0341,
2.8514,-100.3955,-140.3955,
2.8517,-99.5442,-139.5442,
2.852,-101.793,-141.793,
2.8523,-100.1171,-140.1171,
2.8526,-101.4616,-141.4616,
2.8529,-101.5887,-141.5887,
2.8532,-101.6893,-141.6893,
2.8535,-101.7868,-141.7868,
2.8538,-100.3757,-140.3757,
2.8541,-100.2947,-140.2947,
2.8544,-100.8058,-140.8058,
2.8547,-100.1998,-140.1998,
2.855,-100.2011,-140.2011,
2.8553,-99.9963,-139.9963,
2.8556,-99.201,-139.201,
2.8559,-100.0194,-140.0194,
2.8562,-100.7871,-140.7871,
2.8565,-100.1848,-140.1848,
2.8568,-101.4522,-141.4522,
2.8571,-100.3892,-140.3892,
2.8574,-100.1416,-140.1416,
2.8577,-100.7862,-140.7862,
2.858,-100.1714,-140.1714,
2.8583,-100.3078,-140.3078,
2.8586,-100.8401,-140.8401,
2.8589,-101.4695,-141.4695,
2.8592,-100.063,-140.063,
2.8595,-99.7872,-139.7872,
2.8598,-100.3123,-140.3123,
2.8601,-100.6302,-140.6302,
2.8604,-99.2843,-139.2843,
2.8607,-100.5777,-140.5777,
2.861,-101.6513,-141.6513,
2.8613,-101.2472,-141.2472,
2.8616,-101.2765,-141.2765,
2.8619,-100.4089,-140.4089,
2.8622,-100.6714,-140.6714,
2.8625,-100.2886,-140.2886,
2.8628,-101.4414,-141.4414,
2.8631,-100.3949,-140.3949,
2.8634,-98.8818,-138.8818,
2.8637,-100.5743,-140.5743,
2.864,-99.8299,-139.8299,
2.8643,-101.9354,-141.9354,
2.8646,-102.5111,-142.5111,
2.8649,-99.7845,-139.7845,
2.8652,-100.5695,-140.5695,
2.8655,-99.6885,-139.6884,
2.8658,-100.1252,-140.1252,
2.8661,-98.9565,-138.9565,
2.8664,-100.4847,-140.4847,
2.8667,-99.2169,-139.2169,
2.867,-101.3854,-141.3854,
2.8673,-101.0281,-141.0281,
2.8676,-100.0173,-140.0173,
2.8679,-99.933,-139.933,
2.8682,-99.3643,-139.3643,
2.8685,-100.5504,-140.5504,
2.8688,-99.4632,-139.4632,
2.8691,-101.1564,-141.1564,
2.8694,-100.361,-140.361,
2.8697,-101.6834,-141.6834,
2.87,-101.0055,-141.0055,
2.8703,-99.1887,-139.1887,
2.8706,-99.2526,-139.2526,
2.8709,-99.8727,-139.8727,
2.8712,-100.1131,-140.1131,
2.8715,-99.8501,-139.8501,
2.8718,-99.5659,-139.5659,
2.8721,-100.6878,-140.6878,
2.8724,-101.1753,-141.1753,
2.8727,-101.9078,-141.9078,
2.873,-100.1064,-140.1064,
2.8733,-100.8106,-140.8106,
2.8736,-98.7748,-138.7748,
2.8739,-100.3865,-140.3865,
2.8742,-101.1044,-141.1044,
2.8745,-100.4076,-140.4076,
2.8748,-101.0189,-141.0189,
2.8751,-101.308,-141.308,
2.8754,-100.416,-140.416,
2.8757,-99.9312,-139.9312,
2.876,-100.121,-140.121,
2.8763,-102.1712,-142.1712,
2.8766,-101.0635,-141.0635,
2.8769,-99.6944,-139.6944,
2.8772,-100.1271,-140.1271,
2.8775,-100.9726,-140.9726,
2.8778,-100.758,-140.758,
2.8781,-101.2933,-141.2933,
2.8784,-101.1695,-141.1695,
2.8787,-100.9139,-140.9139,
2.879,-101.4675,-141.4675,
2.8793,-99.3732,-139.3732,
2.8796,-98.0052,-138.0052,
2.8799,-101.4924,-141.4924,
2.8802,-100.2996,-140.2996,
2.8805,-100.5634,-140.5634,
2.8808,-100.7232,-140.7232,
2.8811,-99.9368,-139.9368,
2.8814,-101.1832,-141.1832,
2.8817,-99.2625,-139.2625,
2.882,-100.0342,-140.0342,
2.8823,-100.4735,-140.4735,
2.8826,-100.9393,-140.9393,
2.8829,-101.3337,-141.3337,
2.8832,-98.7909,-138.7909,
2.8835,-100.5355,-140.5355,
2.8838,-98.9691,-138.9692,
2.8841,-100.9547,-140.9547,
2.8844,-100.0987,-140.0987,
2.8847,-99.6686,-139.6686,
2.885,-100.107,-140.107,
2.8853,-97.9636,-137.9636,
2.8856,-100.1621,-140.1621,
2.8859,-99.5322,-139.5322,
2.8862,-99.2139,-139.2139,
2.8865,-99.1263,-139.1263,
2.8868,-99.3731,-139.3731,
2.8871,-101.9387,-141.9387,
2.8874,-101.2921,-141.2921,
2.8877,-100.7519,-140.7519,
2.888,-99.8499,-139.8499,
2.8883,-99.6485,-139.6485,
2.8886,-98.2475,-138.2475,
2.8889,-101.1603,-141.1603,
2.8892,-99.3983,-139.3983,
2.8895,-100.5871,-140.5871,
2.8898,-100.5652,-140.5652,
2.8901,-100.1425,-140.1425,
2.8904,-99.7867,-139.7867,
2.8907,-100.1762,-140.1762,
2.891,-101.5228,-141.5228,
2.8913,-100.2321,-140.2321,
2.8916,-101.8047,-141.8047,
2.8919,-99.4958,-139.4958,
2.8922,-99.0877,-139.0877,
2.8925,-101.2728,-141.2728,
2.8928,-99.2011,-139.2011,
2.8931,-101.1567,-141.1567,
2.8934,-99.4443,-139.4443,
2.8937,-99.926,-139.926,
2.894,-100.0978,-140.0978,
2.8943,-100.3023,-140.3023,
2.8946,-99.6306,-139.6306,
2.8949,-100.7421,-140.7421,
2.8952,-99.9805,-139.9805,
2.8955,-100.4873,-140.4873,
2.8958,-99.8824,-139.8824,
2.8961,-99.5396,-139.5396,
2.8964,-101.4851,-141.4851,
2.8967,-100.2175,-140.2175,
2.897,-99.6968,-139.6968,
2.8973,-99.788,-139.788,
2.8976,-98.4371,-138.4371,
2.8979,-100.2243,-140.2243,
2.8982,-99.1645,-139.1645,
2.8985,-101.4665,-141.4665,
2.8988,-101.4866,-141.4866,
2.8991,-100.7894,-140.7894,
2.8994,-99.5372,-139.5372,
2.8997,-100.4727,-140.4727,
2.9,-99.469,-139.469,
2.9003,-101.4571,-141.4571,
2.9006,-99.1195,-139.1195,
2.9009,-98.4645,-138.4645,
2.9012,-99.1491,-139.1491,
2.9015,-99.7524,-139.7524,
2.9018,-99.4694,-139.4694,
2.9021,-100.08,-140.08,
2.9024,-100.8489,-140.8489,
2.9027,-100.0269,-140.0269,
2.903,-99.4781,-139.4781,
2.9033,-99.2337,-139.2337,
2.9036,-99.8925,-139.8925,
2.9039,-100.5853,-140.5853,
2.9042,-100.1649,-140.1649,
2.9045,-99.3459,-139.3459,
2.9048,-100.4623,-140.4623,
2.9051,-98.9417,-138.9417,
2.9054,-99.1433,-139.1433,
2.9057,-99.623,-139.623,
2.906,-98.7674,-138.7674,
2.9063,-99.8019,-139.8019,
2.9066,-100.0839,-140.0839,
2.9069,-98.7938,-138.7938,
2.9072,-101.3374,-141.3374,
2.9075,-101.4078,-141.4078,
2.9078,-99.8589,-139.8589,
2.9081,-98.0773,-138.0773,
2.9084,-98.4477,-138.4477,
2.9087,-99.2726,-139.2726,
2.909,-101.2207,-141.2207,
2.9093,-98.3128,-138.3128,
2.9096,-98.5515,-138.5515,
2.9099,-99.5172,-139.5172,
2.9102,-98.8115,-138.8115,
2.9105,-97.9446,-137.9445,
2.9108,-101.407,-141.407,
2.9111,-98.3059,-138.3059,
2.9114,-99.6093,-139.6093,
2.9117,-99.7882,-139.7882,
2.912,-100.3448,-140.3448,
2.9123,-99.087,-139.087,
2.9126,-98.9845,-138.9845,
2.9129,-98.4407,-138.4407,
2.9132,-99.3657,-139.3657,
2.9135,-98.6474,-138.6474,
2.9138,-100.147,-140.147,
2.9141,-100.4155,-140.4155,
2.9144,-98.3138,-138.3138,
2.9147,-100.8701,-140.8701,
2.915,-101.11,-141.11,
2.9153,-98.8939,-138.8939,
2.9156,-99.4294,-139.4294,
2.9159,-100.5463,-140.5463,
2.9162,-98.6927,-138.6927,
2.9165,-98.313,-138.313,
2.9168,-100.6731,-140.6731,
2.9171,-99.7313,-139.7313,
2.9174,-98.8218,-138.8218,
2.9177,-99.8212,-139.8212,
2.918,-99.6715,-139.6715,
2.9183,-98.2489,-138.2489,
2.9186,-99.6724,-139.6724,
2.9189,-97.308,-137.308,
2.9192,-100.4715,-140.4715,
2.9195,-100.3975,-140.3975,
2.9198,-99.6153,-139.6153,
2.9201,-99.7566,-139.7566,
2.9204,-99.3291,-139.3291,
2.9207,-99.7269,-139.7269,
2.921,-99.5214,-139.5214,
2.9213,-98.2955,-138.2955,
2.9216,-99.0042,-139.0042,
2.9219,-98.8133,-138.8133,
2.9222,-98.5127,-138.5127,
2.9225,-97.9954,-137.9954,
2.9228,-99.7341,-139.7341,
2.9231,-98.9951,-138.9951,
2.9234,-99.4689,-139.4689,
2.9237,-100.0863,-140.0863,
2.924,-100.4415,-140.4415,
2.9243,-100.3019,-140.3019,
2.9246,-99.1459,-139.1459,
2.9249,-99.2844,-139.2844,
2.9252,-99.627,-139.627,
2.9255,-100.4544,-140.4544,
2.9258,-99.9045,-139.9045,
2.9261,-100.1247,-140.1247,
2.9264,-100.3349,-140.3349,
2.9267,-99.0613,-139.0613,
2.927,-99.3667,-139.3667,
2.9273,-98.4186,-138.4186,
2.9276,-99.545,-139.545,
2.9279,-100.9075,-140.9075,
2.9282,-97.8909,-137.8909,
2.9285,-99.9735,-139.9735,
2.9288,-98.8685,-138.8685,
2.9291,-99.2792,-139.2792,
2.9294,-100.1019,-140.1019,
2.9297,-100.171,-140.171,
2.93,-99.5297,-139.5297,
2.9303,-99.36,-139.36,
2.9306,-98.2776,-138.2776,
2.9309,-98.3575,-138.3575,
2.9312,-98.7419,-138.7419,
2.9315,-99.6601,-139.6601,
2.9318,-98.454,-138.454,
2.9321,-98.7184,-138.7184,
2.9324,-98.272,-138.272,
2.9327,-98.3865,-138.3865,
2.933,-98.4061,-138.4061,
2.9333,-100.1849,-140.1849,
2.9336,-100.9793,-140.9793,
2.9339,-99.626,-139.626,
2.9342,-98.5942,-138.5942,
2.9345,-98.279,-138.279,
2.9348,-100.0661,-140.0661,
2.9351,-98.1531,-138.1531,
2.9354,-98.5357,-138.5357,
2.9357,-99.4149,-139.4149,
2.936,-99.1342,-139.1343,
2.9363,-100.6067,-140.6067,
2.9366,-101.431,-141.431,
2.9369,-100.8589,-140.8589,
2.9372,-99.9727,-139.9727,
2.9375,-99.9274,-139.9274,
2.9378,-99.3632,-139.3632,
2.9381,-100.3016,-140.3016,
2.9384,-98.5574,-138.5574,
2.9387,-98.9061,-138.9061,
2.939,-99.1654,-139.1654,
2.9393,-99.1583,-139.1583,
2.9396,-98.5105,-138.5105,
2.9399,-99.0448,-139.0448,
2.9402,-99.5893,-139.5893,
2.9405,-100.978,-140.978,
2.9408,-98.39,-138.39,
2.9411,-99.3015,-139.3015,
2.9414,-100.9095,-140.9095,
2.9417,-98.5782,-138.5782,
2.942,-100.1538,-140.1538,
2.9423,-99.0615,-139.0615,
2.9426,-99.1932,-139.1932,
2.9429,-99.2516,-139.2516,
2.9432,-98.0089,-138.0089,
2.9435,-98.7561,-138.7561,
2.9438,-96.484,-136.484,
2.9441,-99.4252,-139.4252,
2.9444,-100.6044,-140.6044,
2.9447,-97.5032,-137.5032,
2.945,-101.5129,-141.5129,
2.9453,-99.0468,-139.0468,
2.9456,-98.3822,-138.3822,
2.9459,-98.4731,-138.4731,
2.9462,-99.7722,-139.7722,
2.9465,-98.8659,-138.8659,
2.9468,-98.7913,-138.7913,
2.9471,-99.1728,-139.1728,
2.9474,-99.0687,-139.0686,
2.9477,-98.4302,-138.4302,
2.948,-99.4119,-139.4119,
2.9483,-99.0476,-139.0476,
2.9486,-100.0127,-140.0127,
2.9489,-98.9853,-138.9853,
2.9492,-97.9455,-137.9455,
2.9495,-98.7714,-138.7714,
2.9498,-98.8822,-138.8822,
2.9501,-98.1871,-138.1871,
2.9504,-101.1127,-141.1127,
2.9507,-99.4359,-139.4359,
2.951,-98.6458,-138.6458,
2.9513,-98.399,-138.399,
2.9516,-96.1632,-136.1632,
2.9519,-98.3066,-138.3066,
2.9522,-99.5719,-139.5719,
2.9525,-100.5899,-140.5899,
2.9528,-98.2434,-138.2434,
2.9531,-98.4703,-138.4703,
2.9534,-98.6727,-138.6727,
2.9537,-99.7161,-139.7161,
2.954,-98.7128,-138.7128,
2.9543,-98.9042,-138.9042,
2.9546,-99.5819,-139.5819,
2.9549,-97.6768,-137.6768,
2.9552,-99.6051,-139.6051,
2.9555,-98.9805,-138.9805,
2.9558,-97.7737,-137.7737,
2.9561,-98.0727,-138.0727,
2.9564,-98.8738,-138.8738,
2.9567,-100.0977,-140.0977,
2.957,-98.6267,-138.6267,
2.9573,-97.5386,-137.5386,
2.9576,-97.9496,-137.9495,
2.9579,-100.4917,-140.4917,
2.9582,-97.6288,-137.6288,
2.9585,-100.433,-140.433,
2.9588,-98.3916,-138.3916,
2.9591,-99.2201,-139.2201,
2.9594,-98.3279,-138.3279,
2.9597,-99.0193,-139.0193,
2.96,-99.0724,-139.0724,
2.9603,-98.0975,-138.0975,
2.9606,-99.7735,-139.7735,
2.9609,-99.0505,-139.0505,
2.9612,-98.3988,-138.3988,
2.9615,-98.4138,-138.4138,
2.9618,-100.0944,-140.0944,
2.9621,-100.3151,-140.3151,
2.9624,-98.3345,-138.3345,
2.9627,-99.7543,-139.7543,
2.963,-98.0078,-138.0078,
2.9633,-99.892,-139.892,
2.9636,-98.8167,-138.8167,
2.9639,-99.4058,-139.4058,
2.9642,-99.3978,-139.3978,
2.9645,-98.3454,-138.3454,
2.9648,-98.9029,-138.9029,
2.9651,-97.7823,-137.7824,
2.9654,-99.5743,-139.5743,
2.9657,-98.6983,-138.6983,
2.966,-97.6513,-137.6513,
2.9663,-99.7445,-139.7445,
2.9666,-99.1012,-139.1012,
2.9669,-100.7775,-140.7775,
2.9672,-99.0507,-139.0507,
2.9675,-97.8853,-137.8853,
2.9678,-98.5297,-138.5297,
2.9681,-99.7754,-139.7754,
2.9684,-99.2318,-139.2318,
2.9687,-100.6887,-140.6887,
2.969,-96.9001,-136.9001,
2.9693,-98.5826,-138.5826,
2.9696,-100.5841,-140.5841,
2.9699,-99.924,-139.9239,
2.9702,-100.3832,-140.3832,
2.9705,-99.3859,-139.3859,
2.9708,-97.5767,-137.5767,
2.9711,-99.7826,-139.7826,
2.9714,-98.7467,-138.7467,
2.9717,-98.99,-138.99,
2.972,-99.6925,-139.6925,
2.9723,-100.8831,-140.8831,
2.9726,-100.2794,-140.2794,
2.9729,-97.8134,-137.8134,
2.9732,-100.2575,-140.2575,
2.9735,-99.2426,-139.2426,
2.9738,-99.0913,-139.0913,
2.9741,-97.3246,-137.3246,
2.9744,-100.1814,-140.1814,
2.9747,-100.0494,-140.0494,
2.975,-99.0404,-139.0404,
2.9753,-99.4849,-139.4849,
2.9756,-100.0842,-140.0842,
2.9759,-98.6892,-138.6892,
2.9762,-97.342,-137.342,
2.9765,-100.4581,-140.4581,
2.9768,-100.3094,-140.3094,
2.9771,-100.0426,-140.0426,
2.9774,-99.5935,-139.5935,
2.9777,-98.4989,-138.4989,
2.978,-99.6772,-139.6772,
2.9783,-98.3111,-138.3111,
2.9786,-100.3828,-140.3828,
2.9789,-97.8846,-137.8846,
2.9792,-99.6548,-139.6549,
